NumPrincipalComponents,Mse
1,34941.064568983544
2,34957.852042290935
3,34035.194198054
4,35685.8426773698
5,35444.737948055474
6,35378.072168081046
7,34874.10604571494
8,34348.335485464246
9,35416.83527182355
10,34622.48620910239
11,35329.043963875156
12,35879.742019968995
13,34266.46253513232
14,35109.491171740614
15,36117.03694859124
16,35074.40487077107
17,33624.28245085716
18,35269.560547603614
19,34595.57506974015
20,34387.816319281854
21,35085.31487096478
22,33984.43973885643
23,34643.08399175592
24,35993.40081904377
25,35655.69469051995
26,34891.361061494914
27,33809.26588483655
28,34291.91847676459
29,34919.806513218326
30,34698.273860472385
31,32640.92605578847
32,33557.90185202197
33,32938.17621988286
34,34417.70253909344
35,33576.18066100663
36,33650.058231816234
37,33059.103375057864
38,34329.87033321523
39,34168.473385563164
40,35238.429587503604
41,33999.32290571833
42,34266.30634368963
43,34391.22884925878
44,33493.736603113015
45,33855.84104193901
46,33612.663939121856
47,33795.7630583738
48,33300.5151958231
49,33673.04102919194
50,32213.848489671684
51,32424.22255635589
52,32039.404423489435
53,31830.588397330324
54,32145.195707688887
55,32273.57937308936
56,34035.65650579293
57,32430.887226862844
58,31974.842568554268
59,31522.996172581054
60,32225.44288225699
61,32407.607660292928
62,30607.56328022187
63,29269.811043777572
64,31636.248305383084
65,30140.44146405028
66,29868.927115556216
67,29247.06231287967
68,31043.673381591187
69,29763.897660120987
70,30253.456632125675
71,30210.235515836237
72,30128.19676243818
73,29615.602234148653
74,30462.358754049743
75,29481.079441739494
76,30016.76916494492
77,30014.08569529167
78,31818.22565213427
79,28721.004659771486
80,29282.195125305967
81,29641.822578236533
82,28944.476642560476
83,30498.447319727118
84,29691.446490510174
85,30654.75525797597
86,29986.476215205097
87,29050.448707079016
88,29170.447356678636
89,29659.888686309678
90,29630.3147435411
91,31083.454882566693
92,29970.30262924669
93,30835.40755404012
94,29669.755083171265
95,29418.742009561935
96,28790.66312801204
97,27763.01152912018
98,30335.65883271906
99,29600.307526024477
100,27735.02947078524
101,29542.985416007403
102,28809.325615670085
103,30350.03172157859
104,28396.80953796412
105,28642.023782293694
106,29715.82424700034
107,28916.539535250955
108,27981.798859457907
109,28664.338239881254
110,27998.977073977996
111,29300.441388194682
112,29578.545136851593
113,28892.310593794045
114,28819.23100070315
115,27875.973558383717
116,28574.05984559473
117,28932.52624619041
118,28395.17838637475
119,27686.459289394043
120,28619.436663881537
121,28540.499791853614
122,28524.99874023366
123,28879.146776017566
124,28583.668881703983
125,30287.74470190654
126,28831.788220470837
127,27825.443299885337
128,28525.875101777696
129,29429.556621690725
130,29514.617666678285
131,29095.306380578615
132,29517.463806269585
133,29111.386529329156
134,29429.831557477763
135,27808.999406376115
136,28492.87302889905
137,29193.811351056906
138,29297.978300440107
139,28419.341302654797
140,28898.098592943035
141,28734.138607609755
142,29056.098999516456
143,28815.28717707553
144,29129.742544925415
145,27638.463374444065
146,28661.33107669931
147,27253.501101226684
148,29330.36234495402
149,28934.988108827292
150,28861.10815588716
151,28487.151408921494
152,28269.149543216277
153,28610.67179000958
154,28167.83709374778
155,28925.075398528694
156,29446.37208865334
157,29983.77848907494
158,29335.65101440017
159,28038.689786032315
160,28472.330476416046
161,28874.388952270256
162,28729.627029457406
163,28994.17163908248
164,27513.158695134218
165,28813.45844436551
166,28893.65128268823
167,28121.747071173828
168,28981.516178277532
169,29564.395825024734
170,28798.70877218809
171,28942.40369384685
172,28333.66056650939
173,28590.6992683737
174,28943.792248033034
175,29057.932486149883
176,27897.292682442083
177,28349.494473065446
178,28116.808856220865
179,28619.041550007765
180,29566.425916599055
181,28592.720011935024
182,28796.469379273625
183,29447.11294835985
184,28154.98966062481
185,28018.891728911247
186,29878.641299427218
187,30062.91725258914
188,27931.763864334695
189,28349.637094897702
190,28321.676039215025
191,28083.491674133416
192,28595.47579306006
193,28246.245101290067
194,28992.514052801875
195,27626.307220384577
196,28947.190487692442
197,29001.49773477316
198,28735.667888419473
199,28257.383497047147
200,28614.992027938893
201,28586.255945286488
202,27560.95172041134
203,28419.87113004594
204,27490.511731405462
205,27251.75507369573
